Word 1, Word 2, Frequency
of, the, 64.0
he, had, 38.0
in, the, 34.0
to, the, 32.0
and, I, 28.0
to, be, 28.0
I, had, 26.0
that, he, 24.0
I, saw, 24.0
that, I, 22.0
was, a, 22.0
it, was, 20.0
red, light, 20.0
and, the, 20.0
I, have, 20.0
to, him, 18.0
at, the, 18.0
of, his, 18.0
on, the, 18.0
I, said, 18.0
with, a, 16.0
in, his, 16.0
It, was, 16.0
He, had, 16.0
he, was, 14.0
me, and, 14.0
as, I, 14.0
in, a, 14.0
to, me, 14.0
I, was, 14.0
had, been, 14.0
I, am, 14.0
for, the, 14.0
Look, out, 14.0
Below, there, 12.0
which, I, 12.0
which, he, 12.0
with, his, 12.0
and, that, 12.0
when, I, 12.0
towards, the, 12.0
had, to, 12.0
to, make, 12.0
and, had, 12.0
he, said, 12.0
the, tunnel, 12.0
said, I, 12.0
the, door, 11.0
looked, down, 10.0
I, could, 10.0
saw, him, 10.0
his, eyes, 10.0
I, looked, 10.0
to, my, 10.0
and, saw, 10.0
time, to, 10.0
saw, that, 10.0
as, if, 10.0
light, and, 10.0
of, me, 10.0
my, own, 10.0
to, do, 10.0
and, he, 10.0
to, his, 10.0
by, the, 10.0
door, and, 10.0
of, a, 10.0
saw, the, 10.0
was, the, 10.0
was, not, 10.0
his, hand, 8.0
There, was, 8.0
my, eyes, 8.0
with, my, 8.0
me, to, 8.0
it, had, 8.0
seemed, to, 8.0
I, found, 8.0
I, went, 8.0
one, of, 8.0
there, was, 8.0
if, I, 8.0
and, it, 8.0
I, should, 8.0
but, I, 8.0
the, red, 8.0
near, the, 8.0
it, and, 8.0
that, this, 8.0
and, to, 8.0
in, that, 8.0
bell, and, 8.0
for, it, 8.0
he, would, 8.0
mouth, of, 8.0
What, is, 8.0
It, is, 8.0
sir, he, 8.0
to, that, 8.0
were, the, 8.0
as, the, 8.0
God's, sake, 8.0
I, ran, 8.0
I, asked, 8.0
an, hour, 8.0
the, way, 7.0
the, man, 7.0
standing, at, 6.0
his, box, 6.0
he, could, 6.0
not, have, 6.0
over, his, 6.0
his, head, 6.0
and, looked, 6.0
down, the, 6.0
But, I, 6.0
I, know, 6.0
know, it, 6.0
enough, to, 6.0
my, hand, 6.0
him, at, 6.0
again, and, 6.0
at, me, 6.0
and, was, 6.0
I, followed, 6.0
